vx：108,vy: 1008, n_blk: 112, times:2.800000, 正确率：0.666667
vx：108,vy: 1008, n_blk: 112, times:2.900000, 正确率：0.604938
vx：108,vy: 1008, n_blk: 112, times:3.000000, 正确率：0.580247
vx：108,vy: 1344, n_blk: 84, times:1.100000, 正确率：0.962963
vx：108,vy: 1344, n_blk: 84, times:1.200000, 正确率：0.987654
vx：108,vy: 1344, n_blk: 84, times:1.300000, 正确率：0.987654
vx：108,vy: 1344, n_blk: 84, times:1.400000, 正确率：0.962963
vx：108,vy: 1344, n_blk: 84, times:1.500000, 正确率：0.975309
vx：108,vy: 1344, n_blk: 84, times:1.600000, 正确率：0.962963
vx：108,vy: 1344, n_blk: 84, times:1.700000, 正确率：0.962963
vx：108,vy: 1344, n_blk: 84, times:1.800000, 正确率：0.962963
vx：108,vy: 1344, n_blk: 84, times:1.900000, 正确率：0.950617
vx：108,vy: 1344, n_blk: 84, times:2.000000, 正确率：0.938272
vx：108,vy: 1344, n_blk: 84, times:2.100000, 正确率：0.913580
vx：108,vy: 1344, n_blk: 84, times:2.200000, 正确率：0.913580
vx：108,vy: 1344, n_blk: 84, times:2.300000, 正确率：0.913580
vx：108,vy: 1344, n_blk: 84, times:2.400000, 正确率：0.901235
vx：108,vy: 1344, n_blk: 84, times:2.500000, 正确率：0.901235
vx：108,vy: 1344, n_blk: 84, times:2.600000, 正确率：0.839506
vx：108,vy: 1344, n_blk: 84, times:2.700000, 正确率：0.765432
vx：108,vy: 1344, n_blk: 84, times:2.800000, 正确率：0.728395
vx：108,vy: 1344, n_blk: 84, times:2.900000, 正确率：0.654321
vx：108,vy: 1344, n_blk: 84, times:3.000000, 正确率：0.617284
vx：108,vy: 2016, n_blk: 56, times:1.100000, 正确率：0.938272
vx：108,vy: 2016, n_blk: 56, times:1.200000, 正确率：0.962963
vx：108,vy: 2016, n_blk: 56, times:1.300000, 正确率：0.975309
vx：108,vy: 2016, n_blk: 56, times:1.400000, 正确率：0.987654
vx：108,vy: 2016, n_blk: 56, times:1.500000, 正确率：0.975309
vx：108,vy: 2016, n_blk: 56, times:1.600000, 正确率：0.975309
vx：108,vy: 2016, n_blk: 56, times:1.700000, 正确率：0.975309
vx：108,vy: 2016, n_blk: 56, times:1.800000, 正确率：0.950617
vx：108,vy: 2016, n_blk: 56, times:1.900000, 正确率：0.950617
vx：108,vy: 2016, n_blk: 56, times:2.000000, 正确率：0.950617
vx：108,vy: 2016, n_blk: 56, times:2.100000, 正确率：0.925926
vx：108,vy: 2016, n_blk: 56, times:2.200000, 正确率：0.925926
vx：108,vy: 2016, n_blk: 56, times:2.300000, 正确率：0.925926
vx：108,vy: 2016, n_blk: 56, times:2.400000, 正确率：0.913580
vx：108,vy: 2016, n_blk: 56, times:2.500000, 正确率：0.901235
vx：108,vy: 2016, n_blk: 56, times:2.600000, 正确率：0.851852
vx：108,vy: 2016, n_blk: 56, times:2.700000, 正确率：0.777778
vx：108,vy: 2016, n_blk: 56, times:2.800000, 正确率：0.777778
vx：108,vy: 2016, n_blk: 56, times:2.900000, 正确率：0.728395
vx：108,vy: 2016, n_blk: 56, times:3.000000, 正确率：0.703704
vx：108,vy: 4032, n_blk: 28, times:1.100000, 正确率：0.888889
vx：108,vy: 4032, n_blk: 28, times:1.200000, 正确率：0.938272
vx：108,vy: 4032, n_blk: 28, times:1.300000, 正确率：0.975309
vx：108,vy: 4032, n_blk: 28, times:1.400000, 正确率：0.975309
vx：108,vy: 4032, n_blk: 28, times:1.500000, 正确率：0.987654
vx：108,vy: 4032, n_blk: 28, times:1.600000, 正确率：0.975309
vx：108,vy: 4032, n_blk: 28, times:1.700000, 正确率：0.975309
vx：108,vy: 4032, n_blk: 28, times:1.800000, 正确率：0.975309
vx：108,vy: 4032, n_blk: 28, times:1.900000, 正确率：0.975309
vx：108,vy: 4032, n_blk: 28, times:2.000000, 正确率：0.962963
